"Param
Id","TCD
ID","Size/
16 Bit","Group Label
Long","Param. Label
Long","Group
SOLED","Label
SOLED","Group Label
Short","Param. Label
Short","Shape
GUI","Position
GUI","Inactive
CP","Bipolar
No/Yes","Button
Id",MC,Prio,Scaling Type,DV = f(CP),"Factor
CP to DV","DisplayValue
Range","Default
(DV)","Default
(CP)",Round,"Main
Unit","Mod
Unit","Mod Amt (+/-)
u. Stepsize fine","Stepsize/CP
coarse","Stepsize/CP
fine","Unclipped (16 Bit)
TCD_RAW Range","Clipped (14 Bit)
TCD_RAW Range","Factor
CP to TCD",Render Cell,Target,Comment,Parameter Info,
0,,2,Envelope A,Attack Time,Env A,Attack,Envelope A,Attack,Big Knob,0.0,,N,0.0,Y,1,ENVELOPE_TIME_MS,exp,NA,0 ... 16 000,0,0.0,3 St.,ms,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env A,DV = exp(k1 + k2*CP),Time of the (polynomial) Attack segment in milliseconds.,
2,,2,,Decay 1 Time,,Decay 1,,Decay 1,Big Knob,1.0,,N,4,Y,1,ENVELOPE_TIME_MS,exp,NA,0 ... 16 000,118,0.59,3 St.,ms,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env A,,Time of the first (linear) Decay segment in milliseconds.,
4,,2,,Breakpoint Level,,Breakpoint,,Breakpoint,Big Knob,2.0,,N,8,Y,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env A,,Level of the Breakpoint between the two Decay segments.,
6,,2,,Decay 2 Time,,Decay 2,,Decay 2,Big Knob,3.0,,N,12,Y,1,ENVELOPE_TIME_MS,exp,NA,0 ... 16 000,1290,0.79,3 St.,ms,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env A,,Time of the second (exponential) Decay segment in milliseconds.,
8,,2,,Sustain Level,,Sustain,,Sustain,Big Knob,4.0,0,N,16,Y,1,LINEAR_100_PERCENT,lin,100,0 ... 100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env A,,Sustain level (target of the second Decay segment).,
10,,2,,Release Time,,Release,,Release,Big Knob,5.0,,N,20.0,Y,1,ENVELOPE_TIME_MS_INF,exp,NA,"0 ... 16 000, inf",61.1,0.53,3 St.,ms,%,,1/101,1/1010,-16160 ... 32320,0 ... 16 160,16160,-,TG - Env A,,Time of the (exponential) Release segment in milliseconds (infinite at maximum).,
12,1 (51),2,,Gain,,Gain,,Gain,Vert. Slider,6.0,0,Y,21,Y,1,LINEAR_BIPOLAR_24_DB,lin,24,-24...24,0,0.0,0.1,dB,dB,48 (1/480),1/48,1/480,-21600 ... 21600,-7 200 ... 7 200,7200,step - Exp - Sm A,direct,,"Gain [in dB] of the envelope signal. As this signal modulates the Oscillator and Shaper A, the Gain influences the level and the amount of phase modulation and distortion.",
14,,1,,Level Velocity,,Level Vel,,Level Vel,Hor. Slider,1.1,,N,13,N,2,LINEAR_60_DB,lin,60,0...60,30,0.5,0.1,dB,NA,NA,1/60,1/600,NA,0 ... 15 360,15360,-,TG - Env A,,"Influence of the key velocity on the peak, breakpoint and sustain levels of the envelope [maximum dynamic range in dB].",
15,,1,,Attack Velocity,,Att Vel,,Velocity,Hor. Slider,0.1,,N,0.1,N,2,LINEAR_60_DBT,lin,60,0 ... 60,0,0.0,0.1,dB_T,NA,NA,1/60,1/600,NA,0 ... 12 000,12000,-,TG - Env A,,Velocity influence on the Attack time. The value represents the logarithmic amount of the reduction of the Attack time by high Note-On velocities.,
16,,1,,Release Velocity,,Rel Vel,,Velocity,Hor. Slider,5.1,,N,20.1,N,2,LINEAR_60_DBT,lin,60,0 ... 60,0,0.0,0.1,dB_T,NA,NA,1/60,1/600,NA,0 ... 12 000,12000,-,TG - Env A,,Velocity influence on the Release time. The value represents the logarithmic amount of the reduction of the Release time by high Note-Off velocities.,
17,,1,,Level Key Trk,,Level KT,,Level KT,Hor. Slider,2.1,,Y,17.0,N,2,LINEAR_BIPOLAR_1_DBST,lin,1,-1.0 ... 1.0,0,0.0,0.001,dB/st,NA,NA,1/100,1/1000,NA,-8 000 ... 8 000,8000,-,TG - Env A,,"Key tracking of the envelope's peak, breakpoint and sustain levels [dB per semitone].
Positive values: higher levels for higher notes (+1.0 = +12 dB per octave).
Negative values: lower levels for higher notes (-1.0 = -12 dB per octave).
Origin at C3 = 60 semitones.",
18,,1,,Time Key Trk,,Time KT,,Time KT,Hor. Slider,3.1,,N,17.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,5,0.05,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,-,TG - Env A,,"Key tracking of the attack, decay and release times. The value determines how much shorter the times get for higher notes.",
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,2,Envelope B,Attack Time,Env B,Attack,Envelope B,Attack,Big Knob,0.0,,N,3.0,Y,1,ENVELOPE_TIME_MS,exp,NA,0 ... 16 000,0,0.0,3 St.,ms,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env B,,Time of the (polynomial) Attack segment in milliseconds.,
21,,2,,Decay 1 Time,,Decay 1,,Decay 1,Big Knob,1.0,,N,7,Y,1,ENVELOPE_TIME_MS,exp,NA,0 ... 16 000,118,0.59,3 St.,ms,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env B,,Time of the first (linear) Decay segment in milliseconds.,
23,,2,,Breakpoint Level,,Breakpoint,,Breakpoint,Big Knob,2.0,,N,11,Y,1,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env B,,Level of the Breakpoint between the two Decay segments.,
